geometry,adm1_cod_1,name
"<Polygon><outerBoundaryIs><LinearRing><coordinates>34.7014791204,31.8739979109,0 34.7045797058,31.8740237493,0 34.7065950856,31.8745405141,0 34.7086104672,31.8738687206,0 34.7103674664,31.8721117214,0 34.7112976424,31.8675383567,0 34.7107808766,31.8651870792,0 34.7098507024,31.8634300809,0 34.7070601736,31.860872097,0 34.7059749689,31.8597093779,0 34.7055098809,31.8581849227,0 34.7056649114,31.8567121443,0 34.7067501161,31.8505626494,0 34.7065950856,31.8487022975,0 34.7061299994,31.8469969751,0 34.7048897642,31.8436380073,0 34.7048897642,31.8351113965,0 34.7044246762,31.8332252061,0 34.7031844418,31.8319332949,0 34.7017891778,31.8310806342,0 34.6999288268,31.8306930614,0 34.6982235044,31.8306155462,0 34.6965181821,31.8306930614,0 34.6924874198,31.8312873397,0 34.6864412776,31.8331735301,0 34.6822554866,31.8338453228,0 34.6800850772,31.8336127788,0 34.6782247252,31.8330701773,0 34.6768294612,31.8323208685,0 34.6760543149,31.8315973981,0 34.6745040221,31.829556179,0 34.6740389341,31.8284709743,0 34.6735738462,31.8273599311,0 34.6734188174,31.8257321231,0 34.6735738462,31.8241301545,0 34.6740389341,31.8226315368,0 34.6743489934,31.8216238474,0 34.6762093436,31.819685981,0 34.6791549012,31.8173605411,0 34.6858211609,31.8133039412,0 34.690006952,31.8096607534,0 34.69047204,31.8082654895,0 34.6903170103,31.8065601671,0 34.6896968927,31.8049323591,0 34.688611688,31.8034595808,0 34.6873714536,31.8022968608,0 34.6858211609,31.8012374945,0 34.6842708682,31.8004365097,0 34.6785347836,31.7982144235,0 34.6752791676,31.7965607771,0 34.6738839054,31.7954238964,0 34.6727986998,31.7940803093,0 34.6720235534,31.7925300165,0 34.6717134951,31.7907471789,0 34.6720235534,31.7894294302,0 34.6723336118,31.788370063,0 34.6729537294,31.787207343,0 34.6737288749,31.7863546823,0 34.6977584164,31.7793266874,0 34.7022542658,31.7789132762,0 34.7058199401,31.7800759953,0 34.7160518742,31.7867422551,0 34.7201343124,31.7885767695,0 34.7257153657,31.7899978701,0 34.7272656593,31.7915998406,0 34.7272656593,31.7929175893,0 34.7260254249,31.7941061468,0 34.7244751322,31.7951913524,0 34.7235449562,31.7966382923,0 34.7226147802,31.798188585,0 34.7219946626,31.7999714217,0 34.7209094579,31.8013666857,0 34.7193591652,31.8024002145,0 34.7174988141,31.8032270368,0 34.7154317557,31.8037696401,0 34.713881463,31.8046739767,0 34.7129512879,31.805681668,0 34.7134680518,31.8068702264,0 34.7163619317,31.8076453718,0 34.7328467143,31.8097382678,0 34.7351721534,31.8108751494,0 34.7382727388,31.8141566019,0 34.7412182964,31.8136140005,0 34.7463342634,31.8120637069,0 34.7632324563,31.8036146104,0 34.7664880714,31.8013666857,0 34.7697953633,31.797258409,0 34.772275832,31.7922974726,0 34.7789420917,31.7750633811,0 34.781112502,31.7714460308,0 34.7828178244,31.7691981061,0 34.7852982931,31.7667951518,0 34.7865385274,31.7658391383,0 34.7947550799,31.7695081654,0 34.8277763202,31.7919874133,0 34.8548030944,31.7625835232,0 34.8639498228,31.7565632195,0 34.8662752619,31.7562789978,0 34.8699959649,31.7550129259,0 34.8713912289,31.7538760443,0 34.8726314633,31.7520673692,0 34.8734066096,31.7495352246,0 34.8730965513,31.7450393743,0 34.8723214049,31.7424038759,0 34.8706160826,31.7386831729,0 34.8701509946,31.7369261737,0 34.8701509946,31.7351174995,0 34.8706160826,31.7333346619,0 34.874646844,31.7228960231,0 34.8752669607,31.7188135849,0 34.8752669607,31.7166431754,0 34.875111932,31.714576117,0 34.874646844,31.7126899284,0 34.8721663753,31.7077548285,0 34.8717012882,31.7059461534,0 34.8713912289,31.7038790958,0 34.8713912289,31.7017345239,0 34.8726314633,31.6889446068,0 34.8720113456,31.6830534943,0 34.8721663753,31.6810381127,0 34.8738716976,31.6757154401,0 34.874181756,31.6737000603,0 34.8740267273,31.6648892278,0 34.8729415216,31.6591014672,0 34.8815198102,31.6523318555,0 34.9527816098,31.6085619172,0 34.9531755432,31.6083199581,0 34.937329549,31.582001038,0 34.932885376,31.554922588,0 34.932471965,31.526965637,0 34.926787557,31.494409485,0 34.881725708,31.429865621,0 34.867152954,31.39643097,0 34.878831827,31.362841289,0 34.900949341,31.34847524,0 34.927407674,31.344909567,0 34.954899536,31.34863027,0 34.980324341,31.356175029,0 35.040165649,31.363203024,0 35.164912557,31.362272848,0 35.223306925,31.381031393,0 35.332344198,31.458804423,0 35.390118449,31.487071432,0 35.458124634,31.491929016,0 35.458538045,31.491618958,0 35.4571275558,31.4335243941,0 35.4568844,31.42350942,0 35.452853637,31.400823466,0 35.435076945,31.360619202,0 35.416473429,31.331835429,0 35.423914835,31.324600728,0 35.42226119,31.30299998,0 35.4082052,31.282019349,0 35.395699504,31.257679749,0 35.401177206,31.230291239,0 35.410685669,31.204608053,0 35.421331014,31.184505921,0 35.436213827,31.159546204,0 35.443241821,31.132209371,0 35.43848759,31.103735657,0 35.391565389,31.023947246,0 35.385157511,30.994646708,0 35.385260864,30.963279114,0 35.374098755,30.945140686,0 35.3471102838,30.9227096349,0 35.33492802,30.912584534,0 35.322215617,30.889950256,0 35.319528442,30.867315979,0 35.320045206,30.844940084,0 35.316634562,30.822822571,0 35.310846802,30.813314107,0 35.293896932,30.800188293,0 35.286145467,30.792333476,0 35.279530884,30.780241191,0 35.276120239,30.768975728,0 35.271572713,30.743705953,0 35.2638819042,30.7199669861,0 35.263821249,30.719779765,0 35.205323527,30.617098694,0 35.162122029,30.494677226,0 35.157367797,30.470854391,0 35.140004517,30.430185038,0 35.140004517,30.406155497,0 35.144965454,30.395871887,0 35.159331502,30.375614726,0 35.162122029,30.361403707,0 35.15995162,30.347502747,0 35.154473918,30.336754049,0 35.147755981,30.326470439,0 35.141761515,30.313964743,0 35.132356405,30.261874898,0 35.125225057,30.244666647,0 35.124811645,30.216089579,0 35.145275512,30.154904684,0 35.145275512,30.12338206,0 35.129049113,30.089740702,0 35.086261027,30.034033509,0 35.074685506,29.994604391,0 35.074065389,29.982563782,0 35.070344686,29.973727112,0 35.065383748,29.965975647,0 35.06145634,29.957345683,0 35.054118286,29.923394267,0 35.05318811,29.862622782,0 35.048950642,29.842313945,0 35.002545207,29.733095805,0 34.995103801,29.708161927,0 34.989832804,29.651963807,0 34.980324341,29.62700409,0 34.966991822,29.608116354,0 34.959860474,29.586205547,0 34.9555802768,29.5589870928,0 34.955577019,29.558986721,0 34.951345248,29.545640367,0 34.944997592,29.536851304,0 34.927744988,29.518011786,0 34.919769727,29.507391669,0 34.915782097,29.50023021,0 34.914073113,29.493801174,0 34.910817905,29.489935614,0 34.903005405,29.489691473,0 34.893728061,29.490545966,0 34.8867293625,29.490057684,0 34.878108358,29.504298401,0 34.855267375,29.545717062,0 34.84823938,29.56964325,0 34.850099732,29.638760478,0 34.824364868,29.741699931,0 34.785194133,29.835699361,0 34.741372518,29.940240784,0 34.735067993,29.994552714,0 34.735584758,30.00070221,0 34.73496464,30.006696676,0 34.733207642,30.012587789,0 34.730417114,30.018168844,0 34.69165979,30.11454539,0 34.632645304,30.262029928,0 34.599469035,30.344505513,0 34.588410279,30.358819886,0 34.533839966,30.400212708,0 34.526915324,30.409617818,0 34.524744914,30.421141662,0 34.526501912,30.43871165,0 34.536010376,30.468580628,0 34.536217081,30.48217153,0 34.526295207,30.494522196,0 34.526295207,30.494573873,0 34.510378866,30.513332418,0 34.5043844,30.530333965,0 34.502213989,30.57167511,0 34.480406535,30.651205139,0 34.418808228,30.791299947,0 34.367855266,30.907416891,0 34.329511353,30.994491679,0 34.297988729,31.07877594,0 34.258611287,31.184144186,0 34.248350857,31.211448958,0 34.264399048,31.22419342,0 34.315868775,31.256904602,0 34.350905396,31.289254049,0 34.353799276,31.306358948,0 34.345531046,31.340723776,0 34.345841105,31.357725322,0 34.367338501,31.392813619,0 34.480406535,31.485624492,0 34.495496054,31.494409485,0 34.495702759,31.494409485,0 34.528258911,31.520144348,0 34.530429321,31.541383362,0 34.511412394,31.561588847,0 34.481204125,31.583141323,0 34.481211785,31.583156643,0 34.489512566,31.600409247,0 34.513926629,31.627142645,0 34.602712436,31.75775788,0 34.609629754,31.76552969,0 34.665944858,31.873887437,0 34.6659524724,31.8739021213,0 34.6698531431,31.8750056021,0 34.6785347836,31.87720185,0 34.6805501652,31.8779769963,0 34.6845809257,31.8780286732,0 34.6892318047,31.8772535259,0 34.6974483581,31.8744888373,0 34.7014791204,31.8739979109,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",ISR-3053,HaDarom
"<Polygon><outerBoundaryIs><LinearRing><coordinates>35.1207816913,32.6991155055,0 35.119076369,32.6997356231,0 35.1178361346,32.7008983422,0 35.1165959003,32.7022160909,0 35.1136503436,32.7064793972,0 35.1122550796,32.7075646019,0 35.1107047869,32.7083397492,0 35.108792759,32.7082363964,0 35.1072424663,32.7074870885,0 35.1062089366,32.7061693388,0 35.1047619967,32.7028362094,0 35.1038318207,32.6968159039,0 35.1038318207,32.6949555529,0 35.1086894062,32.6772305359,0 35.108792759,32.6731222601,0 35.1080692886,32.6706417914,0 35.0937549172,32.664053046,0 35.0923596532,32.6629936788,0 35.0911194188,32.6618309597,0 35.0889490094,32.6590921095,0 35.0815076033,32.6447777372,0 35.078407017,32.6406436221,0 35.0768567243,32.6395584174,0 35.0751514019,32.6386799182,0 35.0731360212,32.638369859,0 35.0711206396,32.638602403,0 35.0580981794,32.643485826,0 35.0537573587,32.6443384867,0 35.0512252132,32.6444935173,0 35.04895145,32.6442868108,0 35.0467810397,32.6437958853,0 35.0448690118,32.6431757685,0 35.0433187191,32.642323106,0 35.040528192,32.6399201517,0 35.0394429873,32.638602403,0 35.0374276057,32.6357343616,0 35.036807489,32.6340807152,0 35.035877313,32.6304116889,0 35.0357222843,32.6283446314,0 35.0374276057,32.6251665307,0 35.0403731633,32.6211357693,0 35.0483313333,32.613797716,0 35.049881626,32.6109813505,0 35.0495715677,32.6095860874,0 35.0450240414,32.6101545273,0 35.0394429873,32.6120665552,0 35.0366524593,32.6127641872,0 35.034482049,32.6129450553,0 35.02983117,32.6127125113,0 35.0278157902,32.6122215849,0 35.0259554382,32.6114464385,0 35.0248702326,32.6101545273,0 35.0248702326,32.6078807642,0 35.0262654966,32.6045476339,0 35.0306063172,32.5987081982,0 35.0321566099,32.5951941999,0 35.0330867859,32.5922744825,0 35.0330867859,32.5902591009,0 35.0333968443,32.5882953961,0 35.034016961,32.5865642363,0 35.0347921083,32.5851431338,0 35.0389778993,32.5821200628,0 35.0523620947,32.5745236271,0 35.0539123883,32.5727924672,0 35.0545325051,32.5706220569,0 35.0539123883,32.5665912955,0 35.0515352724,32.5595374621,0 35.0512252132,32.5576771101,0 35.0514319187,32.5557650822,0 35.0520520364,32.5541114358,0 35.0537573587,32.5525869824,0 35.0602685888,32.5490988234,0 35.0621289408,32.547212633,0 35.0633691751,32.5453264435,0 35.0652295271,32.5432335475,0 35.0681750829,32.5412181668,0 35.0745312843,32.5381692573,0 35.0777869002,32.536231391,0 35.0822827487,32.5344743918,0 35.1113249036,32.529668484,0 35.1133402852,32.5290483673,0 35.1155106947,32.5286091168,0 35.118611281,32.5289966904,0 35.1226420433,32.5303919544,0 35.129308303,32.534551907,0 35.1322538588,32.5371098901,0 35.1342692404,32.5392027861,0 35.1351994164,32.5407530788,0 35.1361295924,32.5420708284,0 35.1378349139,32.5433627387,0 35.1432609392,32.546282457,0 35.1449662616,32.5479361034,0 35.1460514672,32.5498481313,0 35.1463615247,32.5517859967,0 35.1468266127,32.5534913191,0 35.1476017599,32.555119127,0 35.148997023,32.556281847,0 35.1505473157,32.5573153749,0 35.1595390154,32.5611652692,0 35.1610893081,32.562147122,0 35.1623295434,32.5634131939,0 35.163466424,32.5648084578,0 35.166256952,32.5693559841,0 35.1687374198,32.5717589384,0 35.1702877134,32.5726115991,0 35.1719930358,32.5732317159,0 35.1764888852,32.5710096305,0 35.1797445002,32.5691492785,0 35.2079598328,32.5463858098,0 35.2103593542,32.5418675629,0 35.208630819,32.542640076,0 35.190750773,32.5417099,0 35.176798137,32.532692363,0 35.151683391,32.507913513,0 35.120677531,32.491325379,0 35.0907052,32.479233094,0 35.064350219,32.463135885,0 35.044713175,32.434119568,0 35.032730301,32.3822002611,0 35.0322599627,32.3821581081,0 35.0213045592,32.3811762562,0 35.0144832698,32.3825715193,0 35.0133980651,32.3839667832,0 35.0123128604,32.3854395607,0 35.0110726251,32.3869381784,0 35.0090572453,32.388307603,0 35.0058016293,32.3900129263,0 34.9899369652,32.4022602401,0 34.9857511742,32.404404812,0 34.9824955582,32.4055158552,0 34.9326794778,32.4090298535,0 34.9230676613,32.4079446479,0 34.920897251,32.4074795599,0 34.9094250826,32.4066527367,0 34.8682906426,32.4075053984,0 34.8677962635,32.4075053984,0 34.873220248,32.430324611,0 34.904144727,32.560614325,0 34.909841342,32.57025788,0 34.915863477,32.614894924,0 34.92090905,32.628241278,0 34.919118686,32.642971096,0 34.942067905,32.724514065,0 34.947520379,32.814154364,0 34.955577019,32.834377346,0 34.970469597,32.841376044,0 34.98316491,32.838771877,0 35.003428582,32.827541408,0 35.018728061,32.825018622,0 35.027679884,32.826605536,0 35.062754754,32.858343817,0 35.067067905,32.866848049,0 35.0755227543,32.8930662118,0 35.0776318697,32.8924887148,0 35.0847632183,32.8906283637,0 35.0873987158,32.8889230414,0 35.0898791854,32.8861841902,0 35.0934448588,32.8794145777,0 35.0954602386,32.8763915058,0 35.0971655618,32.8744278019,0 35.1011963233,32.87228323,0 35.1021264992,32.8702678493,0 35.1024365576,32.8672447782,0 35.0999560889,32.8547907579,0 35.1004211769,32.85287873,0 35.1019714696,32.8509150252,0 35.1102396989,32.8461091174,0 35.113030226,32.8440420599,0 35.1144254899,32.8428018255,0 35.1175260763,32.8406572545,0 35.119076369,32.839804592,0 35.122797072,32.8384610049,0 35.1375248546,32.8348953315,0 35.1410905289,32.8332158475,0 35.1426408216,32.8321306419,0 35.1435709976,32.8300119084,0 35.1437260272,32.8268338077,0 35.1410905289,32.8144056258,0 35.1409355002,32.8124160835,0 35.1420207049,32.8087470573,0 35.1440360856,32.8038636343,0 35.1544230493,32.784898383,0 35.1547331067,32.7819786656,0 35.1547331067,32.7780254185,0 35.153647902,32.7698605411,0 35.1524076677,32.7660623237,0 35.151322463,32.763349311,0 35.1414005882,32.7502493355,0 35.1412455576,32.7501718212,0 35.1403153834,32.7490349387,0 35.1389201186,32.7462185741,0 35.1386100602,32.7443065462,0 35.1403153834,32.7303022323,0 35.1398502946,32.72714997,0 35.1384550306,32.7251862661,0 35.1334940941,32.7225766062,0 35.1324088876,32.7206904158,0 35.1317887708,32.7180549184,0 35.1324088876,32.7129906282,0 35.1324088876,32.7107427035,0 35.1322538588,32.7087273219,0 35.1307035661,32.7058592805,0 35.128378127,32.7031462669,0 35.1257426287,32.7008725038,0 35.124192336,32.6998906518,0 35.1224870128,32.6991930198,0 35.1207816913,32.6991155055,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",ISR-3054,Haifa
"<Polygon><outerBoundaryIs><LinearRing><coordinates>35.0213045592,32.3811762562,0 35.0322599627,32.3821581081,0 35.032730301,32.3822002611,0 35.028796835,32.365157369,0 35.021562134,32.344590149,0 35.017841431,32.342213033,0 35.004508911,32.338053081,0 35.000684855,32.335727641,0 34.996550741,32.323041077,0 34.993036743,32.29157013,0 34.989936158,32.278470154,0 35.002441854,32.275137024,0 35.009366496,32.267643942,0 35.011123494,32.257101949,0 35.007609497,32.244389547,0 35.000271444,32.232013041,0 34.961410767,32.201575623,0 34.948078247,32.186873678,0 34.946114542,32.177261861,0 34.962340943,32.146359355,0 34.96730188,32.129461161,0 34.979910929,32.035203349,0 34.980427694,32.016548157,0 34.978670695,31.994378967,0 34.978670695,31.993707174,0 34.978980753,31.993087057,0 34.979600871,31.992570292,0 34.980324341,31.992156881,0 34.981151163,31.988849589,0 34.981461223,31.985232239,0 34.981151163,31.981614889,0 34.980324341,31.978204244,0 34.976086873,31.948231913,0 34.99582727,31.909164531,0 35.00771285,31.875678202,0 34.980324341,31.862604065,0 34.95324589,31.854439189,0 34.9473261938,31.8409251463,0 34.9462703788,31.839788113,0 34.9455985861,31.8390646435,0 34.9308191258,31.8336127788,0 34.9154712256,31.8336902941,0 34.9112854346,31.8323725454,0 34.9086499371,31.829323635,0 34.9012085301,31.8145441765,0 34.8948523288,31.8093506942,0 34.888651157,31.8063276231,0 34.8277763202,31.7919874133,0 34.7947550799,31.7695081654,0 34.7865385274,31.7658391383,0 34.7852982931,31.7667951518,0 34.7828178244,31.7691981061,0 34.781112502,31.7714460308,0 34.7789420917,31.7750633811,0 34.772275832,31.7922974726,0 34.7697953633,31.797258409,0 34.7664880714,31.8013666857,0 34.7632324563,31.8036146104,0 34.7463342634,31.8120637069,0 34.7412182964,31.8136140005,0 34.7382727388,31.8141566019,0 34.7351721534,31.8108751494,0 34.7328467143,31.8097382678,0 34.7163619317,31.8076453718,0 34.7134680518,31.8068702264,0 34.7129512879,31.805681668,0 34.713881463,31.8046739767,0 34.7154317557,31.8037696401,0 34.7174988141,31.8032270368,0 34.7193591652,31.8024002145,0 34.7209094579,31.8013666857,0 34.7219946626,31.7999714217,0 34.7226147802,31.798188585,0 34.7235449562,31.7966382923,0 34.7244751322,31.7951913524,0 34.7260254249,31.7941061468,0 34.7272656593,31.7929175893,0 34.7272656593,31.7915998406,0 34.7257153657,31.7899978701,0 34.7201343124,31.7885767695,0 34.7160518742,31.7867422551,0 34.7058199401,31.7800759953,0 34.7022542658,31.7789132762,0 34.6977584164,31.7793266874,0 34.6737288749,31.7863546823,0 34.6729537294,31.787207343,0 34.6723336118,31.788370063,0 34.6720235534,31.7894294302,0 34.6717134951,31.7907471789,0 34.6720235534,31.7925300165,0 34.6727986998,31.7940803093,0 34.6738839054,31.7954238964,0 34.6752791676,31.7965607771,0 34.6785347836,31.7982144235,0 34.6842708682,31.8004365097,0 34.6858211609,31.8012374945,0 34.6873714536,31.8022968608,0 34.688611688,31.8034595808,0 34.6896968927,31.8049323591,0 34.6903170103,31.8065601671,0 34.69047204,31.8082654895,0 34.690006952,31.8096607534,0 34.6858211609,31.8133039412,0 34.6791549012,31.8173605411,0 34.6762093436,31.819685981,0 34.6743489934,31.8216238474,0 34.6740389341,31.8226315368,0 34.6735738462,31.8241301545,0 34.6734188174,31.8257321231,0 34.6735738462,31.8273599311,0 34.6740389341,31.8284709743,0 34.6745040221,31.829556179,0 34.6760543149,31.8315973981,0 34.6768294612,31.8323208685,0 34.6782247252,31.8330701773,0 34.6800850772,31.8336127788,0 34.6822554866,31.8338453228,0 34.6864412776,31.8331735301,0 34.6924874198,31.8312873397,0 34.6965181821,31.8306930614,0 34.6982235044,31.8306155462,0 34.6999288268,31.8306930614,0 34.7017891778,31.8310806342,0 34.7031844418,31.8319332949,0 34.7044246762,31.8332252061,0 34.7048897642,31.8351113965,0 34.7048897642,31.8436380073,0 34.7061299994,31.8469969751,0 34.7065950856,31.8487022975,0 34.7067501161,31.8505626494,0 34.7056649114,31.8567121443,0 34.7055098809,31.8581849227,0 34.7059749689,31.8597093779,0 34.7070601736,31.860872097,0 34.7098507024,31.8634300809,0 34.7107808766,31.8651870792,0 34.7112976424,31.8675383567,0 34.7103674664,31.8721117214,0 34.7086104672,31.8738687206,0 34.7065950856,31.8745405141,0 34.7045797058,31.8740237493,0 34.7014791204,31.8739979109,0 34.6974483581,31.8744888373,0 34.6892318047,31.8772535259,0 34.6845809257,31.8780286732,0 34.6805501652,31.8779769963,0 34.6785347836,31.87720185,0 34.6698531431,31.8750056021,0 34.6659524724,31.8739021213,0 34.693207227,31.926459052,0 34.711924675,31.951605536,0 34.7338866904,32.0133096955,0 34.733931919,32.0132658959,0 34.7429236178,32.004558417,0 34.7478845561,32.002000434,0 34.7800272973,31.9984347606,0 34.8004911636,31.9980471869,0 34.8039018083,31.9985122749,0 34.807312453,31.9995974805,0 34.8080875994,31.999907538,0 34.8083976577,31.9999850533,0 34.8083976577,32.0000625685,0 34.8085526874,32.0001142445,0 34.823642206,32.0138860135,0 34.8245723811,32.0149970576,0 34.8262260266,32.016288967,0 34.8289132018,32.0179426134,0 34.8351143744,32.020939846,0 34.8388350766,32.0217925067,0 34.8417806333,32.0218958604,0 34.8436409852,32.0212499053,0 34.845191278,32.0203197293,0 34.8490670097,32.0166765415,0 34.853097772,32.0138084992,0 34.8557332704,32.0131108672,0 34.8602291198,32.0138084992,0 34.8777474303,32.0199321565,0 34.8821399269,32.0228260364,0 34.8843103373,32.0253840195,0 34.884000278,32.0271410177,0 34.8833801613,32.0284587674,0 34.8827600436,32.0292339137,0 34.8803829277,32.0312492953,0 34.878832635,32.0323086607,0 34.8698409362,32.0359518503,0 34.8682906426,32.0369078638,0 34.8675154971,32.0383031278,0 34.8668953786,32.0400601261,0 34.8625545588,32.0637537699,0 34.8617794134,32.0655107691,0 34.8610042661,32.0670610618,0 34.8599190614,32.068404649,0 34.8571285344,32.0706784121,0 34.8524776553,32.07346894,0 34.8509273617,32.0745541448,0 34.847981805,32.0763369824,0 34.847051629,32.0771896431,0 34.8462764827,32.0778872751,0 34.8453463067,32.0789983182,0 34.8445711612,32.0804452581,0 34.8439510427,32.0821505805,0 34.8436409852,32.0840626084,0 34.8436409852,32.0858712835,0 34.8445711612,32.0896436634,0 34.8456563659,32.0931318225,0 34.8462764827,32.1031053741,0 34.847051629,32.1076012235,0 34.847981805,32.1096166042,0 34.854493036,32.1165929223,0 34.8566634464,32.1196676702,0 34.8634847348,32.1316049257,0 34.8661202332,32.1392530383,0 34.8661202332,32.1413459343,0 34.8658101739,32.1433613141,0 34.8639498228,32.1477021347,0 34.8636397636,32.1490973978,0 34.8637947932,32.151319485,0 34.8647249692,32.1547042913,0 34.8655001164,32.1588900823,0 34.8655001164,32.1664090028,0 34.8653450859,32.1684243844,0 34.8647249692,32.1701813836,0 34.8637947932,32.1716799994,0 34.8625545588,32.172816881,0 34.8571285344,32.1751681585,0 34.8555782407,32.1760208201,0 34.8543380064,32.1771577008,0 34.8520125673,32.1798965519,0 34.8472066587,32.1825837271,0 34.8413155453,32.1868987093,0 34.8396102229,32.1879063988,0 34.8360445486,32.1893791771,0 34.8317037288,32.1903351915,0 34.8105680681,32.1926606315,0 34.8044350253,32.1925060165,0 34.837657097,32.280707098,0 34.8677962635,32.4075053984,0 34.8682906426,32.4075053984,0 34.9094250826,32.4066527367,0 34.920897251,32.4074795599,0 34.9230676613,32.4079446479,0 34.9326794778,32.4090298535,0 34.9824955582,32.4055158552,0 34.9857511742,32.404404812,0 34.9899369652,32.4022602401,0 35.0058016293,32.3900129263,0 35.0090572453,32.388307603,0 35.0110726251,32.3869381784,0 35.0123128604,32.3854395607,0 35.0133980651,32.3839667832,0 35.0144832698,32.3825715193,0 35.0213045592,32.3811762562,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",ISR-3055,HaMerkaz
