description,name,Provincia,geometry
"<div class=""googft-info-window"">
<b>Provincia:</b> Buenos Aires<br>
<b>name:</b> Provincia de Buenos Aires (Argentina)
</div>",Provincia de Buenos Aires (Argentina),Buenos Aires,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-61.721191,-34.370644,0.0 -63.396606,-34.372913,0.0 -63.393334,-36.860432,0.0 -63.391113,-38.462193,0.0 -63.388367,-40.415588,0.0 -63.38562,-40.695217,0.0 -63.358154,-40.711872,0.0 -63.322449,-40.695217,0.0 -63.297729,-40.711872,0.0 -63.201599,-40.70771,0.0 -63.163147,-40.728527,0.0 -63.110962,-40.738934,0.0 -63.061523,-40.75766,0.0 -63.034058,-40.786781,0.0 -63.003845,-40.801334,0.0 -62.9599,-40.826279,0.0 -62.921448,-40.842903,0.0 -62.888489,-40.880295,0.0 -62.844543,-40.938416,0.0 -62.811584,-40.965382,0.0 -62.784119,-41.023426,0.0 -62.73468,-41.048286,0.0 -62.652283,-41.004776,0.0 -62.514954,-40.948788,0.0 -62.402344,-40.923889,0.0 -62.295227,-40.874065,0.0 -62.229309,-40.703545,0.0 -62.177124,-40.65564,0.0 -62.157898,-40.603527,0.0 -62.031555,-40.472023,0.0 -62.017822,-40.346542,0.0 -62.017822,-40.220829,0.0 -61.99585,-40.170479,0.0 -62.070007,-40.107487,0.0 -62.072754,-40.019199,0.0 -62.111206,-39.890774,0.0 -62.119446,-39.768436,0.0 -62.086487,-39.686054,0.0 -62.105713,-39.645882,0.0 -62.10022,-39.578175,0.0 -62.039795,-39.459522,0.0 -62.012329,-39.372524,0.0 -61.99585,-39.274792,0.0 -61.877747,-39.247143,0.0 -61.847534,-39.215233,0.0 -61.858521,-39.149235,0.0 -61.880493,-39.087437,0.0 -61.927185,-39.046921,0.0 -61.932678,-38.991436,0.0 -61.891479,-38.96368,0.0 -61.806335,-38.991436,0.0 -61.76239,-38.967953,0.0 -61.693726,-38.965816,0.0 -61.644287,-38.997841,0.0 -61.567383,-39.004246,0.0 -61.460266,-38.991436,0.0 -61.377869,-38.987167,0.0 -61.326854,-38.990181,0.0 -61.2323,-38.995708,0.0 -61.116943,-38.997841,0.0 -60.993347,-38.980762,0.0 -60.869751,-38.985031,0.0 -60.809326,-38.974358,0.0 -60.69397,-38.950867,0.0 -60.446777,-38.925228,0.0 -60.207825,-38.880344,0.0 -59.971619,-38.856819,0.0 -59.790344,-38.83329,0.0 -59.683228,-38.803329,0.0 -59.405823,-38.758366,0.0 -59.081726,-38.698372,0.0 -58.889465,-38.653343,0.0 -58.672485,-38.582527,0.0 -58.460999,-38.528831,0.0 -58.216553,-38.45789,0.0 -57.983093,-38.352425,0.0 -57.840271,-38.285625,0.0 -57.697449,-38.231709,0.0 -57.606812,-38.147518,0.0 -57.546387,-38.102142,0.0 -57.513428,-38.030785,0.0 -57.540894,-37.974514,0.0 -57.521667,-37.887859,0.0 -57.428284,-37.768543,0.0 -57.22229,-37.585941,0.0 -57.095947,-37.472679,0.0 -57.027283,-37.352692,0.0 -56.920166,-37.215019,0.0 -56.78833,-37.052986,0.0 -56.645508,-36.884014,0.0 -56.659241,-36.796089,0.0 -56.678467,-36.602299,0.0 -56.694946,-36.425701,0.0 -56.727905,-36.312912,0.0 -56.791077,-36.279709,0.0 -56.802063,-36.317337,0.0 -56.887207,-36.321766,0.0 -56.988831,-36.31955,0.0 -57.139893,-36.248703,0.0 -57.23053,-36.166706,0.0 -57.323914,-36.044659,0.0 -57.362366,-35.940212,0.0 -57.367859,-35.84008,0.0 -57.31842,-35.690765,0.0 -57.142639,-35.491985,0.0 -57.120667,-35.427105,0.0 -57.181091,-35.317368,0.0 -57.281781,-35.202883,0.0 -57.348633,-35.126648,0.0 -57.527161,-34.998505,0.0 -57.595825,-34.985004,0.0 -57.675476,-34.926476,0.0 -57.711182,-34.926476,0.0 -57.867737,-34.809292,0.0 -57.941895,-34.825077,0.0 -57.999573,-34.768692,0.0 -58.065491,-34.759666,0.0 -58.101196,-34.739357,0.0 -58.169861,-34.732586,0.0 -58.219299,-34.700977,0.0 -58.318176,-34.642246,0.0 -58.326416,-34.5993,0.0 -58.359375,-34.56086,0.0 -58.458252,-34.504292,0.0 -58.491211,-34.459015,0.0 -58.460999,-34.404644,0.0 -58.422546,-34.334366,0.0 -58.455505,-34.318485,0.0 -58.425293,-34.284454,0.0 -58.386841,-34.248135,0.0 -58.359375,-34.232243,0.0 -58.334656,-34.259487,0.0 -58.30719,-34.248135,0.0 -58.268738,-34.275375,0.0 -58.249512,-34.232243,0.0 -58.331909,-34.152725,0.0 -58.348389,-34.075413,0.0 -58.364868,-34.000305,0.0 -58.439026,-34.002583,0.0 -58.496704,-34.009411,0.0 -58.565369,-34.0299,0.0 -58.62854,-34.0299,0.0 -58.688965,-34.011688,0.0 -58.735657,-33.961586,0.0 -58.779602,-33.941082,0.0 -58.848267,-33.945637,0.0 -58.883972,-33.897778,0.0 -58.925171,-33.870415,0.0 -58.971863,-33.874977,0.0 -58.985596,-33.838482,0.0 -59.024048,-33.845325,0.0 -59.076233,-33.838482,0.0 -59.144897,-33.845325,0.0 -59.16687,-33.806538,0.0 -59.232788,-33.808819,0.0 -59.257507,-33.792843,0.0 -59.235535,-33.722054,0.0 -59.331665,-33.726624,0.0 -59.405823,-33.73576,0.0 -59.460754,-33.715202,0.0 -59.471741,-33.680923,0.0 -59.482727,-33.635204,0.0 -59.532166,-33.63063,0.0 -59.595337,-33.687782,0.0 -59.625549,-33.676353,0.0 -59.636536,-33.626057,0.0 -59.702454,-33.607758,0.0 -59.760132,-33.607758,0.0 -59.80957,-33.582592,0.0 -59.81781,-33.532238,0.0 -59.894714,-33.500179,0.0 -59.935913,-33.45665,0.0 -60.004578,-33.465816,0.0 -60.067749,-33.42915,0.0 -60.111694,-33.364944,0.0 -60.174866,-33.339706,0.0 -60.205078,-33.286915,0.0 -60.26001,-33.259361,0.0 -60.279236,-33.309872,0.0 -60.317688,-33.335117,0.0 -60.320435,-33.376411,0.0 -60.3479,-33.415394,0.0 -60.400085,-33.449776,0.0 -60.416565,-33.491016,0.0 -60.419312,-33.548264,0.0 -60.457764,-33.578014,0.0 -60.457764,-33.621483,0.0 -60.504456,-33.637489,0.0 -60.578613,-33.623768,0.0 -60.641785,-33.603184,0.0 -60.688477,-33.568859,0.0 -60.729675,-33.578014,0.0 -60.7901,-33.557419,0.0 -60.809326,-33.536816,0.0 -60.858765,-33.536816,0.0 -60.916443,-33.580303,0.0 -60.916443,-33.63063,0.0 -60.985107,-33.683212,0.0 -61.326854,-34.004301,0.0 -61.721191,-34.370644,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"">
<b>Provincia:</b> Catamarca<br>
<b>name:</b> Provincia de Catamarca (Argentina)
</div>",Provincia de Catamaraca (Argentina),Catamarca,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-66.163772,-26.575543,0.0 -66.143188,-26.45582,0.0 -66.154175,-26.39679,0.0 -66.110229,-26.39187,0.0 -66.104736,-26.273714,0.0 -66.077271,-26.224447,0.0 -66.165161,-26.135714,0.0 -66.231079,-26.155437,0.0 -66.269531,-26.209663,0.0 -66.31897,-26.263863,0.0 -66.379395,-26.382029,0.0 -66.445312,-26.342653,0.0 -66.478271,-26.293415,0.0 -66.52771,-26.263863,0.0 -66.566162,-26.16037,0.0 -66.604614,-26.051847,0.0 -66.64856,-26.032106,0.0 -66.73645,-25.923468,0.0 -66.774902,-25.839449,0.0 -66.791382,-25.661333,0.0 -66.708984,-25.636574,0.0 -66.604614,-25.676188,0.0 -66.560669,-25.65143,0.0 -66.538696,-25.596949,0.0 -66.522217,-25.54244,0.0 -66.505737,-25.468075,0.0 -66.500244,-25.393661,0.0 -66.588135,-25.37381,0.0 -66.52771,-25.339062,0.0 -66.51123,-25.289406,0.0 -67.18689,-25.269535,0.0 -67.380135,-25.258988,0.0 -67.807617,-25.234758,0.0 -68.065796,-25.209911,0.0 -68.47229,-25.15523,0.0 -68.506622,-25.166416,0.0 -68.510742,-25.185059,0.0 -68.503189,-25.214882,0.0 -68.514862,-25.223577,0.0 -68.515549,-25.229168,0.0 -68.533401,-25.24159,0.0 -68.549194,-25.264568,0.0 -68.527908,-25.291267,0.0 -68.545761,-25.299957,0.0 -68.540955,-25.316717,0.0 -68.529968,-25.321684,0.0 -68.518295,-25.340923,0.0 -68.525848,-25.353334,0.0 -68.527222,-25.37381,0.0 -68.59314,-25.433353,0.0 -68.565674,-25.507742,0.0 -68.540955,-25.508982,0.0 -68.546448,-25.526953,0.0 -68.532715,-25.55607,0.0 -68.525848,-25.563503,0.0 -68.515549,-25.574034,0.0 -68.529968,-25.580227,0.0 -68.538208,-25.596949,0.0 -68.545761,-25.61924,0.0 -68.545761,-25.636574,0.0 -68.525848,-25.644003,0.0 -68.510742,-25.672474,0.0 -68.497696,-25.676188,0.0 -68.491516,-25.687944,0.0 -68.48465,-25.698463,0.0 -68.477783,-25.701557,0.0 -68.47641,-25.708981,0.0 -68.38028,-26.178856,0.0 -68.557434,-26.286028,0.0 -68.5849,-26.49024,0.0 -68.47229,-26.652369,0.0 -68.299255,-26.87553,0.0 -68.258057,-26.917171,0.0 -68.293762,-26.929417,0.0 -68.293762,-26.935003,0.0 -68.293762,-26.966143,0.0 -68.321228,-26.983276,0.0 -68.288269,-27.039557,0.0 -68.370667,-27.042004,0.0 -68.420105,-27.059126,0.0 -68.455811,-27.09581,0.0 -68.483276,-27.073799,0.0 -68.469543,-27.115368,0.0 -68.497009,-27.139812,0.0 -68.554688,-27.105589,0.0 -68.571167,-27.186241,0.0 -68.598633,-27.156919,0.0 -68.623352,-27.174026,0.0 -68.675537,-27.093365,0.0 -68.749695,-27.117813,0.0 -68.790894,-27.100698,0.0 -68.818359,-27.144701,0.0 -68.862305,-27.188684,0.0 -68.851318,-27.220442,0.0 -68.870544,-27.257071,0.0 -68.823853,-27.298571,0.0 -68.870544,-27.322975,0.0 -68.89801,-27.369328,0.0 -68.884277,-27.403471,0.0 -68.922729,-27.405909,0.0 -68.928223,-27.447353,0.0 -68.969421,-27.432728,0.0 -68.988647,-27.454664,0.0 -68.952942,-27.491219,0.0 -68.941956,-27.530193,0.0 -68.985901,-27.525324,0.0 -68.972168,-27.554546,0.0 -69.040833,-27.595936,0.0 -69.062805,-27.666502,0.0 -69.040833,-27.676231,0.0 -69.046326,-27.700552,0.0 -69.084778,-27.720005,0.0 -69.087524,-27.768621,0.0 -68.843079,-27.778341,0.0 -68.815613,-27.7589,0.0 -68.774414,-27.75647,0.0 -68.650818,-27.744314,0.0 -68.549194,-27.707848,0.0 -68.491516,-27.729731,0.0 -68.505249,-27.788061,0.0 -68.497009,-27.807499,0.0 -68.453064,-27.829361,0.0 -68.450317,-27.856075,0.0 -68.433838,-27.873074,0.0 -68.436584,-27.945887,0.0 -68.455811,-28.004103,0.0 -68.433838,-28.0235,0.0 -68.406372,-28.004103,0.0 -68.343201,-28.0235,0.0 -68.302002,-28.0235,0.0 -68.299255,-28.062286,0.0 -68.285522,-28.086519,0.0 -68.25531,-28.067133,0.0 -68.205872,-28.088943,0.0 -68.181152,-28.084097,0.0 -68.167419,-28.103481,0.0 -68.137207,-28.108326,0.0 -68.123474,-28.142239,0.0 -68.106995,-28.161612,0.0 -68.063049,-28.144661,0.0 -68.024597,-28.130129,0.0 -68.002625,-28.134972,0.0 -67.966919,-28.115595,0.0 -67.91748,-28.118015,0.0 -67.931213,-28.156769,0.0 -67.914734,-28.164034,0.0 -67.922974,-28.21487,0.0 -67.903748,-28.212448,0.0 -67.903748,-28.248747,0.0 -67.892761,-28.280195,0.0 -67.848816,-28.306799,0.0 -67.846069,-28.340649,0.0 -67.818604,-28.374485,0.0 -67.804871,-28.343065,0.0 -67.733459,-28.333395,0.0 -67.662048,-28.306799,0.0 -67.593384,-28.316471,0.0 -67.50824,-28.326141,0.0 -67.398376,-28.374485,0.0 -67.380135,-28.374686,0.0 -67.16217,-28.376902,0.0 -67.090759,-28.27294,0.0 -66.978149,-28.236649,0.0 -66.579895,-28.314053,0.0 -66.513977,-28.475933,0.0 -66.524963,-28.529036,0.0 -66.492004,-28.5411,0.0 -66.489258,-28.639978,0.0 -66.4151,-28.68095,0.0 -66.324463,-28.741173,0.0 -66.360168,-28.753214,0.0 -66.373901,-28.803766,0.0 -66.398621,-28.825424,0.0 -66.398621,-28.861513,0.0 -66.362915,-28.866323,0.0 -66.31073,-28.880754,0.0 -66.247559,-28.897589,0.0 -66.220093,-28.88316,0.0 -66.107483,-28.938457,0.0 -65.942688,-29.080175,0.0 -65.827332,-29.173746,0.0 -65.830078,-29.248062,0.0 -65.750427,-29.274422,0.0 -65.720215,-29.348663,0.0 -65.709229,-29.384567,0.0 -65.700989,-29.406105,0.0 -65.670776,-29.485035,0.0 -65.415344,-30.118998,0.0 -65.115967,-30.057207,0.0 -64.907227,-29.900187,0.0 -64.953918,-29.678509,0.0 -64.970398,-29.583012,0.0 -64.824829,-29.559122,0.0 -64.841309,-29.51372,0.0 -64.833069,-29.494596,0.0 -64.833069,-29.458731,0.0 -64.841309,-29.42046,0.0 -64.868774,-29.374994,0.0 -64.888,-29.343876,0.0 -64.879761,-29.322327,0.0 -64.852295,-29.303165,0.0 -64.888,-29.272024,0.0 -64.855042,-29.214508,0.0 -64.827576,-29.135368,0.0 -64.833069,-29.051369,0.0 -64.901733,-28.952879,0.0 -64.90448,-28.899994,0.0 -64.91272,-28.868729,0.0 -64.967651,-28.830238,0.0 -64.997864,-28.777288,0.0 -65.019836,-28.745989,0.0 -65.1297,-28.709862,0.0 -65.140686,-28.664082,0.0 -65.179138,-28.64962,0.0 -65.176392,-28.603813,0.0 -65.12146,-28.608637,0.0 -65.099487,-28.531448,0.0 -65.10498,-28.391399,0.0 -65.115967,-28.294706,0.0 -65.10498,-28.207609,0.0 -65.170898,-27.931328,0.0 -65.368652,-27.839075,0.0 -65.505981,-27.926474,0.0 -65.522461,-27.989552,0.0 -65.588379,-27.989552,0.0 -65.665283,-27.960443,0.0 -65.703735,-27.829361,0.0 -65.76416,-27.775911,0.0 -65.824585,-27.858503,0.0 -65.841064,-27.707848,0.0 -65.923462,-27.6738,0.0 -65.928955,-27.595936,0.0 -65.9729,-27.547241,0.0 -65.978394,-27.459539,0.0 -65.9729,-27.318094,0.0 -66.137695,-27.239979,0.0 -66.082764,-27.196014,0.0 -66.060791,-27.147144,0.0 -66.000366,-27.108034,0.0 -65.956421,-27.019983,0.0 -65.912476,-26.995514,0.0 -65.846558,-26.92207,0.0 -65.895996,-26.848579,0.0 -65.852051,-26.750517,0.0 -66.055298,-26.603264,0.0 -66.165161,-26.583614,0.0 -66.163772,-26.575543,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
