geometry,geometry_vertex_count,REGION,geometry_pos,INSEE
"<Polygon><outerBoundaryIs><LinearRing><coordinates>7.63528633118,49.0541687012,0 7.67108392715,49.0459709167,0 7.7306022644,49.0544586182,0 7.76645374298,49.0466804504,0 7.79993391037,49.064163208,0 7.86740779877,49.033493042,0 7.89009046555,49.0479469299,0 7.91527080536,49.0419082642,0 7.93704032898,49.0562324524,0 7.97631931305,49.028301239,0 7.99733734131,49.0280227661,0 8.05113601685,49.0127563477,0 8.09137630463,48.9892578125,0 8.16248130798,48.9774208069,0 8.19351768494,48.976474762,0 8.19739627838,48.9571037292,0 8.1415681839,48.8960723877,0 8.12144374847,48.8649406433,0 8.1010684967,48.8158149719,0 8.06241321564,48.789188385,0 8.03185653687,48.7881469727,0 8.01747703552,48.762752533,0 7.97024869919,48.7562294006,0 7.96174192429,48.7202568054,0 7.89625167847,48.6672096252,0 7.84504365921,48.6455307007,0 7.80017709732,48.5831680298,0 7.80516195297,48.5135002136,0 7.76686811447,48.4868011475,0 7.76616191864,48.463973999,0 7.73354673386,48.3986854553,0 7.73096609116,48.3822059631,0 7.74523162842,48.329826355,0 7.73411750793,48.3182296753,0 7.6939368248,48.3021202087,0 7.66615104675,48.2210998535,0 7.64184999466,48.203994751,0 7.62933540344,48.1832427979,0 7.59949970245,48.155632019,0 7.59889745712,48.1354293823,0 7.5778594017,48.1213912964,0 7.5693154335,48.0806770325,0 7.56859016418,48.0363388062,0 7.60858297348,48.0003242493,0 7.62215709686,47.9736595154,0 7.58263397217,47.929889679,0 7.58251523972,47.8982620239,0 7.55772924423,47.880947113,0 7.56240320206,47.8410186768,0 7.53022813797,47.7834434509,0 7.54859018326,47.735408783,0 7.54388666153,47.7225837708,0 7.51375198364,47.7028198242,0 7.52467393875,47.660194397,0 7.56735515594,47.6317367554,0 7.59303569794,47.6008224487,0 7.58426618576,47.5757141113,0 7.5173625946,47.5457687378,0 7.52345228195,47.5170402527,0 7.50792121887,47.4962272644,0 7.47551584244,47.4803657532,0 7.43476295471,47.4979667664,0 7.43115949631,47.4814605713,0 7.45348453522,47.473575592,0 7.42254638672,47.4477539063,0 7.38629770279,47.431968689,0 7.33891105652,47.4405708313,0 7.30397558212,47.4382553101,0 7.24714231491,47.4211349487,0 7.23590183258,47.4368782043,0 7.20622301102,47.4348907471,0 7.17473173141,47.4426689148,0 7.17799282074,47.4681091309,0 7.16890525818,47.4895019531,0 7.13034582138,47.5030250549,0 7.14217329025,47.5250244141,0 7.13277864456,47.5396537781,0 7.10621547699,47.5513381958,0 7.08538818359,47.5930519104,0 7.04311561584,47.5999679565,0 7.0092124939,47.5993919373,0 7.00505256653,47.6195983887,0 7.01980543137,47.650680542,0 7.04528188705,47.670375824,0 7.02756547928,47.705368042,0 7.03741788864,47.7215576172,0 7.01168489456,47.7416305542,0 6.97435188293,47.7516021729,0 6.93845033646,47.771156311,0 6.92345190048,47.7700653076,0 6.8649597168,47.7846069336,0 6.84911775589,47.8012580872,0 6.84617996216,47.8229446411,0 6.89608621597,47.8329734802,0 6.92004776001,47.8502883911,0 6.89832830429,47.8886947632,0 6.92751312256,47.9121322632,0 6.92037963867,47.9459991455,0 6.94350862503,47.9987373352,0 6.96144866943,48.0004119873,0 7.00256586075,48.0232505798,0 7.03435754776,48.0753898621,0 7.0516500473,48.0826072693,0 7.08416318893,48.1292228699,0 7.05904626846,48.1391792297,0 7.08699655533,48.1837539673,0 7.10629034042,48.1943092346,0 7.1326508522,48.2428283691,0 7.17244100571,48.2974891663,0 7.19828224182,48.3104782104,0 7.17899084091,48.3286209106,0 7.11712360382,48.3341331482,0 7.07596445084,48.3525848389,0 7.10082244873,48.3737449646,0 7.09568691254,48.4265327454,0 7.12545394897,48.4996032715,0 7.12316513062,48.5135917664,0 7.07710552216,48.5163345337,0 7.07936000824,48.5364189148,0 7.11554050446,48.5366668701,0 7.16849899292,48.5286941528,0 7.19325447083,48.549243927,0 7.21657133102,48.5523643494,0 7.25628185272,48.5886764526,0 7.28071594238,48.6372184753,0 7.30435562134,48.6602096558,0 7.26627588272,48.6623001099,0 7.24226140976,48.6921081543,0 7.26013422012,48.6947135925,0 7.30858278275,48.7678794861,0 7.2908987999,48.7939071655,0 7.24523496628,48.8100318909,0 7.22712135315,48.8284606934,0 7.20342826843,48.8269577026,0 7.17350816727,48.8420181274,0 7.14885425568,48.8445968628,0 7.1473608017,48.8222503662,0 7.12679958344,48.8011512756,0 7.08795833588,48.8061714172,0 7.04711723328,48.8206367493,0 7.05206346512,48.8468818665,0 7.08838033676,48.8483924866,0 7.09414577484,48.8628807068,0 7.05500984192,48.8649177551,0 6.98797369003,48.891368866,0 6.95737981796,48.8941574097,0 6.95506715775,48.919960022,0 6.97741031647,48.9330558777,0 6.99251699448,48.9605293274,0 7.03221940994,48.9560508728,0 7.03168725967,48.986366272,0 7.05235099792,49.0087013245,0 7.05491256714,49.0306282043,0 7.07866001129,49.0503616333,0 7.06860017776,49.0633888245,0 7.09934234619,49.0778923035,0 7.10635757446,49.0453453064,0 7.12995100021,49.0053596497,0 7.1742401123,49.0063667297,0 7.20931148529,48.9800872803,0 7.23798799515,48.987651825,0 7.29392671585,48.972618103,0 7.29020261765,48.9565162659,0 7.32685279846,48.9433822632,0 7.35909605026,48.9564704895,0 7.37991762161,48.9511985779,0 7.45163106918,48.9679718018,0 7.48701953888,48.9500617981,0 7.53651380539,48.9336395264,0 7.57992601395,48.9616127014,0 7.58873701096,48.9910469055,0 7.63528633118,49.0541687012,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",172,Alsace,"<Point><coordinates>7.40670643012,48.2495136261,0</coordinates></Point>",42
"<Polygon><outerBoundaryIs><LinearRing><coordinates>1.25315189362,45.4442176819,0 1.28827059269,45.4335289001,0 1.26564538479,45.4177970886,0 1.26022207737,45.4002494812,0 1.28168308735,45.3850898743,0 1.29964029789,45.3943061829,0 1.32323050499,45.3831176758,0 1.31595778465,45.3611755371,0 1.28515553474,45.3520507813,0 1.24160301685,45.3013076782,0 1.22705996037,45.2718429565,0 1.23938465118,45.2604484558,0 1.2762850523,45.2556991577,0 1.27768743038,45.2420845032,0 1.23360788822,45.2221946716,0 1.23345565796,45.198425293,0 1.27214789391,45.2011451721,0 1.29139995575,45.1856460571,0 1.2544362545,45.1585044861,0 1.30875444412,45.1370162964,0 1.3805321455,45.1357116699,0 1.41309392452,45.124912262,0 1.39244747162,45.1058769226,0 1.39956402779,45.0611839294,0 1.44826149941,45.0193138123,0 1.40913033485,45.006729126,0 1.41426122189,44.9739151001,0 1.44156181812,44.9187812805,0 1.4236291647,44.9182662964,0 1.42183578014,44.8964118958,0 1.4360704422,44.8729858398,0 1.40557813644,44.8630599976,0 1.40250730515,44.8490486145,0 1.36545920372,44.8449707031,0 1.36410295963,44.8115692139,0 1.30116593838,44.797744751,0 1.29715359211,44.7769699097,0 1.32153534889,44.7610969543,0 1.31605088711,44.7403755188,0 1.28702139854,44.7144622803,0 1.27004098892,44.7220878601,0 1.22455000877,44.6842651367,0 1.18056082726,44.6826858521,0 1.14673268795,44.6707954407,0 1.15089321136,44.6328544617,0 1.07514083385,44.5773239136,0 1.0444740057,44.5609741211,0 1.0131663084,44.5361366272,0 0.981519639492,44.5444412231,0 1.01629507542,44.5037002563,0 1.00902509689,44.4800491333,0 1.02300930023,44.475440979,0 1.0216794014,44.446598053,0 1.05748808384,44.4276771545,0 1.06408381462,44.3785133362,0 1.06022906303,44.366065979,0 0.950215697289,44.359577179,0 0.919845402241,44.3844184875,0 0.898592472077,44.3812141418,0 0.887319982052,44.3646469116,0 0.896113157272,44.3462295532,0 0.86944514513,44.3092536926,0 0.950788080692,44.2750701904,0 0.919089794159,44.2382698059,0 0.929239213467,44.2302513123,0 0.903111338615,44.1900558472,0 0.860991477966,44.1929779053,0 0.853632152081,44.1747817993,0 0.882225215435,44.1739501953,0 0.888351321221,44.1488113403,0 0.869091689587,44.1265144348,0 0.820500135422,44.1429023743,0 0.796567738056,44.1451530457,0 0.793164968491,44.1184577942,0 0.754382967949,44.1048049927,0 0.741884768009,44.0652008057,0 0.707922756672,44.0582885742,0 0.662558913231,44.0245933533,0 0.652207732201,44.0429077148,0 0.592675149441,44.0792617798,0 0.566978871822,44.0606155396,0 0.538427472115,44.0529518127,0 0.51158028841,44.0627365112,0 0.481846272945,44.0534286499,0 0.459759086371,44.0553779602,0 0.44244992733,44.0287628174,0 0.418932557106,44.0282897949,0 0.382336765528,44.0082397461,0 0.357013463974,44.015411377,0 0.324740111828,44.0078010559,0 0.303003638983,43.9912376404,0 0.268923133612,44.0040626526,0 0.232994541526,44.0093917847,0 0.214733630419,44.0227851868,0 0.189806640148,44.015007019,0 0.166041240096,43.9942932129,0 0.165308684111,43.9804344177,0 0.138624876738,43.9765968323,0 0.127415299416,43.9985809326,0 0.107387967408,43.9853820801,0 0.0760456100107,43.9831428528,0 0.0554246678949,43.9571380615,0 0.0750816687943,43.914680481,0 0.0586181394756,43.8983802795,0 0.0331778787077,43.8999786377,0 -0.0203855205327,43.9292945862,0 0.00559954950592,43.9555854797,0 -0.0361689254641,43.9837417603,0 -0.0441898331046,43.9636688232,0 -0.0753200873733,43.9446105957,0 -0.0924671366811,43.9479637146,0 -0.102561041713,43.9272766113,0 -0.125395178795,43.9435043335,0 -0.177077353001,43.9356803894,0 -0.200575128198,43.9146385193,0 -0.232803344727,43.9015846252,0 -0.193995684385,43.8816871643,0 -0.208908215165,43.8576698303,0 -0.189844444394,43.8336982727,0 -0.194708436727,43.809211731,0 -0.218646913767,43.7965888977,0 -0.215682476759,43.7724075317,0 -0.194143295288,43.7370185852,0 -0.247380658984,43.7092437744,0 -0.239730194211,43.6712417603,0 -0.274354100227,43.6160430908,0 -0.247204199433,43.6159591675,0 -0.254007279873,43.5967102051,0 -0.242837071419,43.5849838257,0 -0.176560878754,43.5968322754,0 -0.162107899785,43.5816650391,0 -0.0967829748988,43.5824050903,0 -0.0871227607131,43.5423774719,0 -0.069730438292,43.5467529297,0 -0.0437004305422,43.5229873657,0 -0.049103256315,43.4919052124,0 -0.0321065224707,43.4660377502,0 -0.0657541155815,43.4634895325,0 -0.0696042254566,43.4342002869,0 -0.0429834388196,43.4102096558,0 -0.0320301577449,43.4336547852,0 -0.01653409563,43.4439468384,0 0.00965531077247,43.422203064,0 -0.00380684621632,43.3980522156,0 -0.00465288991109,43.3757095337,0 0.028665335849,43.3466186523,0 0.01276791282,43.3275337219,0 -0.0253713820129,43.3296165466,0 -0.044395878911,43.3029403687,0 -0.0410263575614,43.2836952209,0 -0.0185161586851,43.2693862915,0 -0.0449464917183,43.233795166,0 -0.0493842288852,43.2173576355,0 -0.0739724934101,43.2223777771,0 -0.0678739994764,43.1771202087,0 -0.116243176162,43.1792869568,0 -0.138601213694,43.149105072,0 -0.146313965321,43.1281852722,0 -0.197562798858,43.0999679565,0 -0.187362700701,43.0856246948,0 -0.198047921062,43.0703125,0 -0.190722703934,43.0512504578,0 -0.223951518536,43.0336875916,0 -0.260505408049,43.0382728577,0 -0.264715641737,43.0100097656,0 -0.287669211626,43.0055541992,0 -0.289621949196,42.9611206055,0 -0.279270291328,42.9423446655,0 -0.313023686409,42.9185638428,0 -0.326875030994,42.9168663025,0 -0.307293713093,42.868976593,0 -0.313442856073,42.8493766785,0 -0.293132483959,42.8388290405,0 -0.350817173719,42.8333587646,0 -0.384153068066,42.8038597107,0 -0.414649367332,42.8054351807,0 -0.444918990135,42.7960319519,0 -0.509380161762,42.8252868652,0 -0.529672980309,42.7915458679,0 -0.56774687767,42.780872345,0 -0.573617935181,42.8073997498,0 -0.60037201643,42.8024978638,0 -0.60234695673,42.8300857544,0 -0.648710012436,42.8551063538,0 -0.67944163084,42.8829307556,0 -0.698395013809,42.8789634705,0 -0.733008027077,42.8979949951,0 -0.72675204277,42.9208641052,0 -0.73327177763,42.9461593628,0 -0.752805233002,42.966960907,0 -0.784414052963,42.9642868042,0 -0.80880099535,42.9514541626,0 -0.864740014076,42.9509544373,0 -0.910014152527,42.9638023376,0 -0.93453001976,42.9526786804,0 -0.97499102354,42.9632987976,0 -1.01046597958,42.9910964966,0 -1.07197105885,42.9978942871,0 -1.08357429504,43.0108833313,0 -1.1132683754,43.0212173462,0 -1.18114602566,43.0322494507,0 -1.21240866184,43.0513954163,0 -1.24750840664,43.0423583984,0 -1.3085449934,43.0692214966,0 -1.29949402809,43.0922775269,0 -1.27049803734,43.1183204651,0 -1.31961202621,43.1127891541,0 -1.3451706171,43.0929718018,0 -1.34411883354,43.0559387207,0 -1.35370397568,43.0280189514,0 -1.44139301777,43.0461959839,0 -1.47221601009,43.0815582275,0 -1.47132301331,43.0917739868,0 -1.41573810577,43.128528595,0 -1.40288567543,43.1560783386,0 -1.4018599987,43.1784858704,0 -1.38494801521,43.1882896423,0 -1.38418114185,43.2532234192,0 -1.41320562363,43.2734146118,0 -1.43830502033,43.2666740417,0 -1.491320014,43.2813301086,0 -1.50585639477,43.2932777405,0 -1.56173217297,43.2883987427,0 -1.55623197556,43.2797966003,0 -1.57473897934,43.2504653931,0 -1.61657905579,43.257270813,0 -1.63018798828,43.2849235535,0 -1.62386119366,43.3039665222,0 -1.66939914227,43.3141899109,0 -1.69465303421,43.3118476868,0 -1.72886502743,43.296131134,0 -1.73881995678,43.3290367126,0 -1.78597104549,43.3537483215,0 -1.78597104549,43.3720817566,0 -1.73958396912,43.3795814514,0 -1.62902796268,43.413192749,0 -1.59902799129,43.4326400757,0 -1.56791698933,43.475692749,0 -1.54652798176,43.4940261841,0 -1.52319395542,43.5295066833,0 -1.46597194672,43.6101379395,0 -1.44819402695,43.6401405334,0 -1.43847203255,43.7026405334,0 -1.41819405556,43.7770843506,0 -1.39180600643,43.8562507629,0 -1.36402797699,43.9523620605,0 -1.30986201763,44.1545829773,0 -1.27069497108,44.3595848083,0 -1.25374925137,44.4676361084,0 -1.25152802467,44.5473594666,0 -1.22374999523,44.5795822144,0 -1.20513796806,44.6143074036,0 -1.20430600643,44.6401405334,0 -1.19180500507,44.6609725952,0 -1.14319396019,44.6604156494,0 -1.14152801037,44.6476402283,0 -1.08347094059,44.6434707642,0 -1.03069496155,44.6543045044,0 -1.01930403709,44.6695823669,0 -1.05736100674,44.6859741211,0 -1.04486000538,44.6987495422,0 -1.15263795853,44.7664871216,0 -1.16847097874,44.7637481689,0 -1.20430600643,44.717918396,0 -1.22180604935,44.7095832825,0 -1.23708295822,44.681804657,0 -1.23847305775,44.6568069458,0 -1.26069402695,44.6429176331,0 -1.25236201286,44.707359314,0 -1.2229180336,44.8604164124,0 -1.20263803005,44.9948616028,0 -1.19902801514,45.0354156494,0 -1.18013799191,45.1773605347,0 -1.16152703762,45.3015289307,0 -1.16013896465,45.4156951904,0 -1.15097200871,45.4423599243,0 -1.15597295761,45.4684715271,0 -1.13874900341,45.5051383972,0 -1.10152900219,45.5398597717,0 -1.08708405495,45.5665283203,0 -1.03791594505,45.5348625183,0 -1.06875002384,45.5195846558,0 -1.05347299576,45.5029182434,0 -1.02708303928,45.4926376343,0 -0.970417022705,45.4529151917,0 -0.938472986221,45.443195343,0 -0.903194010258,45.4084739685,0 -0.842917025089,45.3787498474,0 -0.802637994289,45.3454170227,0 -0.761249005794,45.2776374817,0 -0.746806025505,45.2359733582,0 -0.744584023952,45.1981925964,0 -0.733470976353,45.1723594666,0 -0.680694997311,45.0770835876,0 -0.652360975742,45.0493049622,0 -0.607915997505,45.0148620605,0 -0.585416018963,45.0168037415,0 -0.603470981121,45.0481948853,0 -0.637359976768,45.0748596191,0 -0.668749988079,45.1293067932,0 -0.669582009315,45.1673622131,0 -0.688193976879,45.2184715271,0 -0.697916984558,45.2684707642,0 -0.717361986637,45.3285217285,0 -0.650532662868,45.3224906921,0 -0.642021656036,45.3150520325,0 -0.60763502121,45.3240089417,0 -0.58545923233,45.3429489136,0 -0.568966627121,45.3315238953,0 -0.567662417889,45.2974205017,0 -0.513430058956,45.2863845825,0 -0.472985565662,45.2936325073,0 -0.433463007212,45.2805671692,0 -0.416122585535,45.2673912048,0 -0.424027740955,45.2485656738,0 -0.405947506428,45.2420806885,0 -0.41917270422,45.2103919983,0 -0.378419399261,45.1568565369,0 -0.362699329853,45.1703605652,0 -0.338612735271,45.1662025452,0 -0.307550549507,45.1495895386,0 -0.275359451771,45.1414108276,0 -0.257078230381,45.1146202087,0 -0.221237495542,45.1077613831,0 -0.191442385316,45.0947494507,0 -0.143537327647,45.0903434753,0 -0.111029207706,45.1153793335,0 -0.0875734835863,45.1215820313,0 -0.0656182914972,45.1007041931,0 -0.0402003414928,45.1023826599,0 -0.0296105667948,45.1278953552,0 -0.0367500111461,45.1407470703,0 0.00293032405904,45.152217865,0 -0.0190609674901,45.1651611328,0 0.0043307463639,45.1916313171,0 0.0555817820132,45.2271652222,0 0.0760642439128,45.2202682495,0 0.100036896765,45.2260742188,0 0.11584366113,45.2135734558,0 0.145485624671,45.2144851685,0 0.174738436937,45.2392082214,0 0.172293275595,45.2517127991,0 0.20441570878,45.2636032104,0 0.22091190517,45.2902259827,0 0.252620726824,45.2894058228,0 0.270634382963,45.3146057129,0 0.249430790544,45.3635864258,0 0.27085980773,45.418926239,0 0.310780584812,45.4587593079,0 0.356706649065,45.4662208557,0 0.378383815289,45.4841270447,0 0.432763397694,45.5016479492,0 0.465736716986,45.5396232605,0 0.483244210482,45.5388908386,0 0.506549119949,45.5543403625,0 0.498576164246,45.5647850037,0 0.516323685646,45.5880622864,0 0.501440644264,45.6153526306,0 0.512656629086,45.6314582825,0 0.53844755888,45.6287384033,0 0.57544708252,45.6409263611,0 0.567032217979,45.6532592773,0 0.587921559811,45.6676750183,0 0.629742443562,45.7145690918,0 0.662086367607,45.6874809265,0 0.74413728714,45.6882629395,0 0.775643348694,45.6677474976,0 0.764133989811,45.6314125061,0 0.750612974167,45.6168746948,0 0.777188122273,45.5921707153,0 0.805857419968,45.5949668884,0 0.811500310898,45.5758705139,0 0.83999568224,45.5813026428,0 0.869353055954,45.6235275269,0 0.893740236759,45.6010322571,0 0.946144878864,45.6125526428,0 0.983447432518,45.6036224365,0 0.995823323727,45.6127090454,0 1.02358841896,45.607219696,0 1.04774856567,45.5578308105,0 1.08602380753,45.5347442627,0 1.11931240559,45.5459632874,0 1.1653636694,45.5264015198,0 1.11843574047,45.487903595,0 1.13564491272,45.4711685181,0 1.1624443531,45.4783477783,0 1.18512308598,45.4551010132,0 1.21212267876,45.4623718262,0 1.25315189362,45.4442176819,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-0.0930960103869,43.3738861084,0 -0.0872709527611,43.3338432312,0 -0.114548414946,43.3324050903,0 -0.109901435673,43.3128051758,0 -0.0758321434259,43.3069381714,0 -0.0644825845957,43.3536148071,0 -0.0930960103869,43.3738861084,0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-0.089286983013,43.3010635376,0 -0.117817156017,43.307346344,0 -0.140602961183,43.2716751099,0 -0.118389882147,43.2413749695,0 -0.0899814739823,43.2540054321,0 -0.0796294435858,43.271648407,0 -0.0948077142239,43.2842750549,0 -0.089286983013,43.3010635376,0</coordinates></LinearRing></innerBoundaryIs></Polygon>",404,Aquitaine,"<Point><coordinates>-0.182418493292,44.2477207184,0</coordinates></Point>",72
