District,Province,Population,km²,Density,Voters 2012,geometry
Awaran,Baluchistan,118173,29510,4,55969,"<Polygon>
   <outerBoundaryIs>
    <LinearRing>
     <coordinates>
      65.912025,27.139364,0 65.935104,27.135206,0 65.963318,27.1359,0 65.986153,27.13961,0 65.999214,27.145447,0 66.01284800000001,27.161549,0 66.022964,27.177563,0 66.034081,27.189659,0 66.040115,27.194534,0 66.046288,27.194681,0 66.049103,27.189228,0 66.05410000000001,27.169632,0 66.054543,27.154659,0 66.053383,27.134129,0 66.050888,27.099373,0 66.044426,27.049545,0 66.038414,27.014709,0 66.02681699999999,26.964073,0 66.01947800000001,26.91502,0 66.009918,26.881681,0 66.000717,26.836529,0 65.98226200000001,26.777754,0 65.974197,26.753912,0 65.96299000000001,26.714289,0 65.952591,26.680933,0 65.943001,26.649963,0 65.93100699999999,26.611843,0 65.92815400000001,26.590498,0 65.925133,26.574663,0 65.927345,26.559748,0 65.933159,26.541773,0 65.9589,26.503017,0 65.984779,26.463572,0 66.015038,26.418619,0 66.04349499999999,26.374409,0 66.077637,26.314579,0 66.103371,26.271872,0 66.107384,26.267302,0 66.109489,26.27201700000001,0 66.109352,26.276737,0 66.10562899999999,26.284525,0 66.101028,26.292292,0 66.09732800000001,26.299294,0 66.09240699999999,26.318077,0 66.089241,26.336905,0 66.089767,26.34873,0 66.089653,26.352665,0 66.085121,26.358072,0 66.081345,26.367434,0 66.081856,26.380049,0 66.08149,26.392641,0 66.081902,26.408405,0 66.085266,26.41321,0 66.097359,26.419008,0 66.110168,26.430336,0 66.114029,26.448544,0 66.114609,26.458797,0 66.112602,26.467417,0 66.108002,26.475185,0 66.105003,26.48772,0 66.106483,26.497208,0 66.11048099999999,26.510693,0 66.12142900000001,26.531158,0 66.135918,26.545675,0 66.144417,26.555326,0 66.156548,26.560333,0 66.165138,26.566833,0 66.17729900000001,26.571051,0 66.187866,26.569716,0 66.194153,26.564342,0 66.200531,26.55582,0 66.207764,26.548105,0 66.215042,26.538816,0 66.222786,26.53302,0 66.22148900000001,26.528934,0 66.222694,26.517145,0 66.251839,26.479898,0 66.247124,26.47657,0 66.23782300000001,26.468119,0 66.2341,26.463896,0 66.232277,26.45632,0 66.231438,26.439499,0 66.230637,26.416792,0 66.230743,26.399136,0 66.22708900000001,26.384825,0 66.219696,26.371336,0 66.213196,26.363737,0 66.20388,26.359488,0 66.196426,26.356087,0 66.185219,26.34945700000001,0 66.175926,26.341843,0 66.17036400000001,26.334246,0 66.167618,26.326666,0 66.166748,26.316572,0 66.16683999999999,26.30228200000001,0 66.162346,26.275356,0 66.16244500000001,26.261066,0 66.164421,26.243425,0 66.16918200000001,26.22916,0 66.18240400000001,26.204855,0 66.19278,26.186417,0 66.20133199999999,26.161245,0 66.205254,26.129328,0 66.211021,26.100782,0 66.214035,26.078192,0 66.219742,26.058052,0 66.224602,26.024466,0 66.2332,25.986696,0 66.238007,25.960672,0 66.244659,25.93634,0 66.248459,25.922075,0 66.25327299999999,25.893536,0 66.25897999999999,25.87088,0 66.260025,25.849884,0 66.25730900000001,25.837273,0 66.249016,25.823795,0 66.240791,25.801102,0 66.22978999999999,25.775852,0 66.216949,25.748915,0 66.205986,25.719467,0 66.19686900000001,25.692549,0 66.181282,25.663076,0 66.163849,25.634436,0 66.152878,25.610025,0 66.140984,25.587292,0 66.118073,25.549381,0 66.102936,25.525991,0 66.086456,25.499029,0 66.069962,25.476263,0 66.052483,25.461044,0 66.040527,25.451736,0 66.034058,25.450016,0 66.028503,25.44998,0 66.019218,25.453276,0 66.008049,25.461596,0 65.994057,25.474091,0 65.98382599999999,25.479897,0 65.97824900000001,25.482376,0 65.97174099999999,25.48485,0 65.96804,25.484823,0 65.95790100000001,25.479715,0 65.94497699999999,25.475426,0 65.935715,25.475357,0 65.925499,25.47864,0 65.919922,25.48111700000001,0 65.914284,25.490309,0 65.909592,25.496988,0 65.90216100000001,25.499451,0 65.897537,25.498577,0 65.88829800000001,25.496826,0 65.876335,25.488338,0 65.862503,25.482353,0 65.848625,25.481403,0 65.83007000000001,25.48461,0 65.803116,25.494459,0 65.779861,25.504333,0 65.760345,25.51088,0 65.74955,25.515089,0 65.738434,25.514988,0 65.71163900000001,25.508867,0 65.68395200000001,25.500214,0 65.65353399999999,25.488171,0 65.627708,25.479521,0 65.60932200000001,25.468424,0 65.576241,25.448778,0 65.54496,25.434179,0 65.522797,25.430584,0 65.508888,25.432112,0 65.49958,25.436207,0 65.496758,25.439533,0 65.49670399999999,25.443729,0 65.498497,25.447947,0 65.511391,25.453125,0 65.523354,25.45829,0 65.53344,25.465954,0 65.537041,25.473549,0 65.537857,25.481953,0 65.541473,25.488707,0 65.547905,25.492971,0 65.54969800000001,25.497189,0 65.546837,25.503874,0 65.544014,25.507202,0 65.542999,25.513906,0 65.543762,25.526508,0 65.54457100000001,25.535751,0 65.54071,25.547464,0 65.53781100000001,25.556669,0 65.527542,25.562435,0 65.517265,25.569042,0 65.515366,25.57238,0 65.51527400000001,25.579096,0 65.51799800000001,25.583323,0 65.51791400000001,25.590038,0 65.512238,25.598373,0 65.503754,25.609196,0 65.502769,25.613384,0 65.502724,25.616743,0 65.509125,25.623529,0 65.51615099999999,25.630022,0 65.525391,25.632641,0 65.530952,25.6327,0 65.531837,25.636068,0 65.531784,25.640266,0 65.527092,25.644415,0 65.527046,25.647774,0 65.530602,25.659569,0 65.53511,25.669693,0 65.537758,25.6798,0 65.53585099999999,25.683977,0 65.53117399999999,25.68644700000001,0 65.525612,25.686388,0 65.51919599999999,25.680439,0 65.503548,25.671032,0 65.48597700000001,25.666637,0 65.465614,25.66305,0 65.456413,25.657907,0 65.44541200000001,25.648544,0 65.430733,25.63662,0 65.415031,25.632236,0 65.402107,25.627886,0 65.388229,25.626041,0 65.381714,25.62764200000001,0 65.374306,25.626713,0 65.35681200000001,25.618103,0 65.348579,25.610445,0 65.346817,25.604546,0 65.34877,25.597853,0 65.349762,25.593666,0 65.347015,25.591114,0 65.3424,25.590218,0 65.33867600000001,25.591011,0 65.334908,25.595161,0 65.32273100000001,25.603407,0 65.314331,25.606661,0 65.306862,25.609924,0 65.304085,25.60989,0 65.300377,25.609842,0 65.30043000000001,25.606483,0 65.302376,25.600632,0 65.303337,25.598125,0 65.30059799999999,25.595572,0 65.295959,25.595512,0 65.289474,25.595428,0 65.282082,25.593655,0 65.270157,25.585943,0 65.26564000000001,25.57832700000001,0 65.25752300000001,25.563948,0 65.24928300000001,25.557962,0 65.244637,25.558741,0 65.23990600000001,25.564556,0 65.23335299999999,25.568666,0 65.228706,25.569445,0 65.22592899999999,25.569408,0 65.222275,25.566,0 65.209373,25.561628,0 65.20315600000001,25.557272,0 65.20166,25.563917,0 65.18957500000001,25.585207,0 65.17918400000001,25.596258,0 65.171387,25.601791,0 65.16355900000001,25.601814,0 65.13224,25.592451,0 65.073105,25.577627,0 65.033981,25.568254,0 64.993134,25.560444,0 64.964455,25.556543,0 64.93839300000001,25.554995,0 64.91493199999999,25.553438,0 64.892342,25.550304,0 64.87496899999999,25.545588,0 64.86019899999999,25.544806,0 64.846298,25.544807,0 64.827187,25.543232,0 64.79418200000001,25.540077,0 64.74211099999999,25.532652,0 64.696091,25.523161,0 64.644859,25.516005,0 64.613609,25.512014,0 64.58496100000001,25.509596,0 64.532005,25.503174,0 64.504234,25.499163,0 64.477341,25.492788,0 64.46521,25.487242,0 64.455681,25.480915,0 64.438362,25.470627,0 64.42364499999999,25.461918,0 64.408081,25.44927,0 64.38729100000001,25.439751,0 64.375175,25.433407,0 64.363907,25.431789,0 64.350014,25.43330600000001,0 64.33176400000001,25.438738,0 64.309158,25.447294,0 64.29348,25.456667,0 64.283035,25.462914,0 64.271736,25.465221,0 64.24231,25.467012,0 64.232758,25.467751,0 64.19544999999999,25.465981,0 64.159851,25.466568,0 64.13988500000001,25.467237,0 64.125961,25.471876,0 64.124184,25.478161,0 64.12415300000001,25.482096,0 64.125839,25.489189,0 64.131844,25.498671,0 64.137001,25.505785,0 64.151642,25.523188,0 64.161102,25.536623,0 64.165367,25.547667,0 64.166862,25.553938,0 64.16780900000001,25.555069,0 64.17128,25.560173,0 64.184105,25.576672,0 64.20740499999999,25.607368,0 64.213936,25.61257000000001,0 64.221886,25.612823,0 64.230453,25.613096,0 64.23519899999999,25.617128,0 64.236778,25.623835,0 64.240273,25.628384,0 64.246391,25.628576,0 64.25844600000001,25.617865,0 64.26722,25.612593,0 64.277573,25.614027,0 64.287132,25.620428,0 64.292618,25.621155,0 64.30008700000001,25.618059,0 64.30502300000001,25.61710400000001,0 64.315315,25.620197,0 64.32487500000001,25.626595,0 64.33307600000001,25.631519,0 64.343414,25.633501,0 64.35236399999999,25.639877,0 64.354561,25.646603,0 64.35180699999999,25.654837,0 64.337273,25.666594,0 64.323387,25.677259,0 64.30785400000001,25.682878,0 64.299179,25.685383,0 64.293503,25.689644,0 64.290733,25.697878,0 64.28231,25.70982,0 64.278465,25.714138,0 64.274162,25.730646,0 64.27368900000001,25.742838,0 64.276436,25.751245,0 64.284271,25.75482,0 64.298828,25.759157,0 64.309647,25.765041,0 64.320381,25.773142,0 64.32254,25.780975,0 64.32453200000001,25.793243,0 64.32204400000001,25.813055,0 64.321968,25.831364,0 64.326393,25.844263,0 64.331047,25.851065,0 64.33644099999999,25.854561,0 64.345032,25.854824,0 64.351776,25.855032,0 64.357147,25.859079,0 64.357552,25.864641,0 64.352722,25.878922,0 64.35006,25.88439,0 64.348518,25.892666,0 64.353554,25.922232,0 64.36026800000001,25.956291,0 64.36634100000001,25.974792,0 64.375854,26.002243,0 64.387474,26.020357,0 64.39707900000001,26.026752,0 64.407951,26.032078,0 64.417725,26.034037,0 64.445312,26.036528,0 64.46418,26.042084,0 64.479935,26.04865600000001,0 64.491409,26.054544,0 64.50209,26.065405,0 64.51115400000001,26.087318,0 64.513351,26.094601,0 64.516487,26.110235,0 64.51475499999999,26.124062,0 64.50630200000001,26.153793,0 64.497467,26.176851,0 64.475517,26.205509,0 64.456383,26.22326500000001,0 64.444633,26.22958600000001,0 64.429855,26.266777,0 64.42099,26.295979,0 64.42009,26.332684,0 64.429405,26.351967,0 64.445404,26.365505,0 64.469917,26.370541,0 64.519325,26.372332,0 64.546387,26.372005,0 64.594002,26.370375,0 64.67527,26.365969,0 64.73378,26.362122,0 64.773827,26.365324,0 64.810165,26.367613,0 64.839088,26.36725,0 64.874611,26.363628,0 64.900719,26.364044,0 64.918373,26.367682,0 64.925735,26.372833,0 64.93119,26.380472,0 64.932816,26.393089,0 64.931656,26.404823,0 64.91823599999999,26.423082,0 64.915115,26.439823,0 64.914902,26.450733,0 64.922157,26.461761,0 64.93956,26.479664,0 64.96622499999999,26.501902,0 65.008636,26.531929,0 65.055092,26.569372,0 65.091042,26.598438,0 65.127899,26.630026,0 65.159218,26.659008,0 65.180397,26.679449,0 65.201553,26.701567,0 65.226387,26.728769,0 65.250305,26.755955,0 65.273399,26.776407,0 65.290024,26.791735,0 65.29847,26.803366,0 65.307503,26.825317,0 65.325699,26.86166,0 65.334694,26.886971,0 65.33627300000001,26.895407,0 65.338165,26.905495,0 65.34066,26.926527,0 65.343109,26.95092,0 65.343773,26.96941,0 65.347313,26.983736,0 65.35466,26.994747,0 65.36747699999999,27.016745,0 65.388687,27.04388,0 65.40509,27.065615,0 65.421616,27.087126,0 65.445007,27.119997,0 65.46972700000001,27.159153,0 65.483513,27.178118,0 65.49996899999999,27.207146,0 65.51100200000001,27.222315,0 65.52343000000001,27.238754,0 65.53864299999999,27.257729,0 65.552414,27.279198,0 65.564796,27.30065,0 65.57575199999999,27.323343,0 65.58252,27.344738,0 65.58517500000001,27.357311,0 65.586327,27.377398,0 65.58749400000001,27.397171,0 65.587357,27.40752,0 65.59148399999999,27.415089,0 65.592964,27.417526,0 65.632362,27.407976,0 65.677986,27.393431,0 65.716476,27.380255,0 65.745155,27.369179,0 65.76660200000001,27.36264,0 65.77827499999999,27.357422,0 65.807472,27.329779,0 65.82764400000001,27.30742100000001,0 65.846245,27.278711,0 65.857643,27.253759,0 65.862656,27.234959,0 65.870209,27.206139,0 65.880905,27.174862,0 65.893822,27.157047,0 65.912025,27.139364,0 
     </coordinates>
    </LinearRing>
   </outerBoundaryIs>
  </Polygon>"
Barkhan,Baluchistan,103545,3514,29,53898,"<Polygon>
   <outerBoundaryIs>
    <LinearRing>
     <coordinates>
      69.810722,30.291023,0 69.818504,30.290981,0 69.82456999999999,30.29245,0 69.831963,30.297661,0 69.84065200000001,30.302488,0 69.856689,30.307276,0 69.865799,30.310225,0 69.870155,30.314699,0 69.87323000000001,30.320681,0 69.880203,30.327391,0 69.886292,30.331106,0 69.89626300000001,30.333298,0 69.909683,30.334343,0 69.920074,30.33428,0 69.926559,30.333866,0 69.936913,30.330051,0 69.952454,30.325455,0 69.961311,30.322836,0 69.961052,30.322468,0 69.95979300000001,30.317389,0 69.95912199999999,30.304552,0 69.959091,30.297863,0 69.960617,30.293846,0 69.963081,30.293036,0 69.966469,30.292488,0 69.97080200000001,30.295416,0 69.974525,30.298882,0 69.97792800000001,30.301277,0 69.981331,30.302334,0 69.983177,30.302328,0 69.984093,30.299917,0 69.98406199999999,30.293764,0 69.98184999999999,30.282804,0 69.978416,30.273991,0 69.973755,30.266785,0 69.971321,30.26256,0 69.97099300000001,30.258282,0 69.972824,30.25346,0 69.978058,30.251034,0 69.98236799999999,30.250751,0 69.98762499999999,30.253408,0 69.99134100000001,30.256603,0 69.99569700000001,30.263275,0 70.000359,30.270214,0 70.003456,30.273411,0 70.007172,30.27527,0 70.012421,30.27739,0 70.01797500000001,30.277369,0 70.021675,30.277355,0 70.030624,30.276785,0 70.035248,30.275963,0 70.03987100000001,30.275143,0 70.046043,30.275118,0 70.05622099999999,30.275076,0 70.059921,30.275061,0 70.06669599999999,30.273159,0 70.072243,30.27126300000001,0 70.07530199999999,30.267237,0 70.07621,30.264559,0 70.076202,30.262419,0 70.07247200000001,30.257353,0 70.06407900000001,30.245619,0 70.05165100000001,30.229889,0 70.04763,30.226694,0 70.042686,30.225111,0 70.03620100000001,30.224066,0 70.03034200000001,30.22355500000001,0 70.02417,30.221973,0 70.02076,30.219313,0 70.01889799999999,30.216377,0 70.017342,30.212906,0 70.016075,30.206224,0 70.016327,30.195524,0 70.01506000000001,30.189911,0 70.013206,30.188046,0 70.010429,30.186987,0 70.005493,30.186737,0 70.00271600000001,30.185678,0 69.99900100000001,30.182482,0 69.997131,30.179012,0 69.996483,30.172369,0 69.99427799999999,30.162479,0 69.991463,30.15313,0 69.987419,30.145922,0 69.985542,30.139509,0 69.984886,30.131487,0 69.98484000000001,30.121323,0 69.98603799999999,30.114632,0 69.98754099999999,30.106068,0 69.986572,30.09778,0 69.98531300000001,30.091633,0 69.981842,30.08289,0 69.97966,30.076746,0 69.97655500000001,30.07114,0 69.972527,30.066339,0 69.96942900000001,30.061001,0 69.966331,30.057268,0 69.962311,30.053001,0 69.95613899999999,30.048475,0 69.94657100000001,30.042891,0 69.943169,30.038891,0 69.940697,30.035957,0 69.93914,30.032751,0 69.92247,30.001713,0 69.918655,29.988625,0 69.911018,29.962452,0 69.892509,29.914806,0 69.877617,29.89889,0 69.855957,29.876156,0 69.83580000000001,29.861467,0 69.813873,29.817606,0 69.811829,29.810251,0 69.80249000000001,29.792755,0 69.794189,29.778017,0 69.789001,29.768806,0 69.782715,29.764177,0 69.77536000000001,29.762293,0 69.76908899999999,29.757664,0 69.760712,29.752102,0 69.753395,29.745628,0 69.746117,29.735483,0 69.739876,29.727182,0 69.73258199999999,29.718872,0 69.722099,29.714211,0 69.704224,29.71225,0 69.696877,29.710363,0 69.69062,29.703894,0 69.676979,29.700123,0 69.66648100000001,29.697294,0 69.654961,29.691702,0 69.64600400000001,29.685261,0 69.64016,29.687794,0 69.632019,29.692698,0 69.614853,29.699131,0 69.592529,29.705208,0 69.567612,29.707165,0 69.54439499999999,29.706112,0 69.516876,29.702818,0 69.489784,29.699142,0 69.470428,29.695068,0 69.452789,29.68836200000001,0 69.435143,29.678282,0 69.420929,29.666317,0 69.411507,29.658739,0 69.399467,29.653515,0 69.38743599999999,29.651287,0 69.37625900000001,29.647558,0 69.36593600000001,29.64157700000001,0 69.34787799999999,29.634108,0 69.32467699999999,29.625517,0 69.296753,29.618052,0 69.27398700000001,29.612825,0 69.264534,29.611334,0 69.255516,29.61134,0 69.242638,29.614721,0 69.226753,29.618851,0 69.211296,29.625978,0 69.20096599999999,29.627552,0 69.190567,29.629957,0 69.188812,29.631166,0 69.18044999999999,29.637489,0 69.169487,29.643864,0 69.16420700000001,29.64818,0 69.15316799999999,29.657009,0 69.147194,29.660589,0 69.13623800000001,29.664562,0 69.123909,29.669064,0 69.10945100000001,29.676052,0 69.098801,29.680983,0 69.090942,29.686073,0 69.082542,29.695721,0 69.079498,29.703089,0 69.07446299999999,29.709547,0 69.06706200000001,29.719231,0 69.060501,29.726377,0 69.06302599999999,29.735622,0 69.067093,29.738644,0 69.074005,29.742199,0 69.078064,29.745573,0 69.082336,29.748415,0 69.087418,29.750549,0 69.096977,29.753395,0 69.109787,29.758018,0 69.121178,29.761929,0 69.129929,29.76495,0 69.142273,29.770252,0 69.149796,29.774158,0 69.154068,29.777885,0 69.155693,29.78161,0 69.156502,29.786222,0 69.15812699999999,29.78923800000001,0 69.160568,29.792788,0 69.16362,29.795094,0 69.170135,29.799707,0 69.176445,29.804144,0 69.18438,29.810354,0 69.190483,29.816031,0 69.195168,29.819223,0 69.206367,29.825077,0 69.217766,29.830753,0 69.23052199999999,29.836754,0 69.24926000000001,29.84650600000001,0 69.26332100000001,29.855015,0 69.27615400000001,29.861925,0 69.28145600000001,29.864937,0 69.288589,29.867771,0 69.297348,29.870958,0 69.305908,29.872372,0 69.31385,29.873074,0 69.318741,29.873602,0 69.323837,29.87413,0 69.327911,29.875368,0 69.331169,29.876961,0 69.332397,29.878555,0 69.332809,29.880329,0 69.334442,29.882811,0 69.3377,29.88529000000001,0 69.346878,29.889183,0 69.353966,29.890177,0 69.36578400000001,29.891935,0 69.37944,29.89369200000001,0 69.389023,29.89563,0 69.39167000000001,29.8974,0 69.393509,29.899879,0 69.394341,29.907505,0 69.395782,29.915308,0 69.398033,29.918497,0 69.401093,29.921509,0 69.40334300000001,29.923279,0 69.40374799999999,29.924698,0 69.403961,29.927357,0 69.404579,29.929485,0 69.406616,29.931255,0 69.409882,29.933023,0 69.417023,29.936028,0 69.424576,29.939562,0 69.430908,29.944342,0 69.438148,29.950129,0 69.444687,29.955616,0 69.448166,29.960752,0 69.4543,29.966772,0 69.45695499999999,29.970137,0 69.458191,29.974924,0 69.463104,29.981833,0 69.47007000000001,29.991573,0 69.476013,30.000608,0 69.477715,30.003963,0 69.477722,30.006269,0 69.47711200000001,30.007336,0 69.473854,30.009295,0 69.47080200000001,30.012316,0 69.468773,30.014982,0 69.468575,30.017111,0 69.469803,30.019238,0 69.47389200000001,30.02313,0 69.48350499999999,30.030027,0 69.488411,30.03392,0 69.489853,30.037109,0 69.48925,30.04119100000001,0 69.488647,30.043322,0 69.48865499999999,30.047579,0 69.48764799999999,30.050241,0 69.48764799999999,30.051128,0 69.489082,30.053253,0 69.493996,30.057146,0 69.49850499999999,30.063698,0 69.49891700000001,30.065826,0 69.49749799999999,30.068314,0 69.49587200000001,30.069736,0 69.492401,30.070631,0 69.488525,30.070641,0 69.48382599999999,30.07082700000001,0 69.478317,30.070841,0 69.475662,30.070137,0 69.471779,30.068193,0 69.46687300000001,30.066784,0 69.459923,30.064316,0 69.450935,30.061495,0 69.444603,30.060442,0 69.438683,30.059744,0 69.433983,30.058334,0 69.424446,30.054993,0 69.419746,30.053759,0 69.41423,30.051285,0 69.40892,30.048277,0 69.40422100000001,30.044914,0 69.403938,30.044714,0 69.403954,30.051523,0 69.402969,30.056713,0 69.402855,30.059525,0 69.403481,30.06201,0 69.40535,30.064709,0 69.409088,30.06773,0 69.41207900000001,30.070103,0 69.41490899999999,30.072927,0 69.416748,30.074461,0 69.432335,30.093176,0 69.44489299999999,30.108145,0 69.460915,30.123482,0 69.479111,30.141434,0 69.49104300000001,30.152163,0 69.502747,30.16263,0 69.51271800000001,30.173475,0 69.52876999999999,30.191053,0 69.540482,30.202642,0 69.56043200000001,30.220577,0 69.571274,30.228792,0 69.579506,30.233265,0 69.58339700000001,30.233252,0 69.58814200000001,30.230988,0 69.590721,30.226854,0 69.589828,30.221231,0 69.586769,30.214493,0 69.579376,30.20402,0 69.570274,30.196175,0 69.56289700000001,30.190201,0 69.562454,30.186827,0 69.56244700000001,30.184202,0 69.56545300000001,30.181192,0 69.565445,30.178194,0 69.56368999999999,30.172201,0 69.558037,30.16247,0 69.55671700000001,30.15835,0 69.55843400000001,30.154221,0 69.56101200000001,30.15271200000001,0 69.567925,30.151941,0 69.575699,30.151915,0 69.57914700000001,30.15078,0 69.581726,30.147022,0 69.58170300000001,30.143272,0 69.584717,30.140638,0 69.59118700000001,30.137991,0 69.596802,30.138348,0 69.60372200000001,30.141323,0 69.61629499999999,30.152151,0 69.626289,30.164112,0 69.63803900000001,30.180941,0 69.64415,30.193666,0 69.64547,30.198536,0 69.64419599999999,30.20229,0 69.641617,30.205673,0 69.641632,30.208673,0 69.642937,30.210918,0 69.647728,30.2169,0 69.65554,30.224367,0 69.670525,30.24111600000001,0 69.674438,30.245224,0 69.684021,30.257933,0 69.69360399999999,30.270266,0 69.69973,30.28299,0 69.70281199999999,30.292351,0 69.707184,30.301331,0 69.71241000000001,30.307306,0 69.717209,30.31291,0 69.723305,30.319633,0 69.727661,30.325237,0 69.72940800000001,30.32823,0 69.727699,30.331612,0 69.72382399999999,30.335005,0 69.723846,30.338003,0 69.725594,30.340996,0 69.73081999999999,30.346598,0 69.734741,30.350704,0 69.739563,30.358301,0 69.740837,30.356676,0 69.74645200000001,30.35515,0 69.75553100000001,30.353231,0 69.760704,30.350208,0 69.765625,30.342243,0 69.767296,30.332485,0 69.76853199999999,30.321981,0 69.768906,30.31373,0 69.77061500000001,30.309971,0 69.77404799999999,30.305456,0 69.78006000000001,30.299051,0 69.786102,30.296772,0 69.793869,30.293734,0 69.80120100000001,30.291071,0 69.810722,30.291023,0 
     </coordinates>
    </LinearRing>
   </outerBoundaryIs>
  </Polygon>"
